num_points,std,avg_median_dev,width,linearity,circularity,radius,boundary_length,boundary_regularity,mean_curvature,ang_diff,iav,std_iav,distance,dist_num_points,occluded_right,occluded_left,label
5,0.027016,0.0221685,0.0673664,0.00163595,0.000107996,0,0.0729348,0.0082722,21.8654,1.89019,1.75934,1.62316,1.93022,0.386045,1,1,1
7,0.0399192,0.0322286,0.107008,0.00763081,0.00102251,0,0.119531,0.00759956,14.5762,2.24963,2.31126,1.64929,2.03,0.29,1,1,1
7,0.0396106,0.0325186,0.108667,0.0075263,0.000229835,0,0.131651,0.00999738,17.9548,2.1761,2.67202,1.86908,1.91077,0.272967,1,1,1
6,0.0340263,0.0273828,0.0893477,inf,0.000763081,0,0.105498,0.00911783,25.8078,2.0447,2.23544,1.79552,2.02998,0.33833,1,1,1
10,0.0510095,0.0425014,0.149972,0.0212837,0.00305745,0,0.17915,0.00718599,27.9669,2.4324,2.81379,1.51806,1.90009,0.190009,1,1,1
10,0.0513912,0.0428324,0.149742,0.0206585,0.00063268,0,0.17377,0.00661911,28.892,2.37723,2.91805,1.56193,1.87498,0.187498,1,1,1
9,0.0497016,0.0421518,0.13964,0.0161049,0.000306051,0,0.176864,0.0090954,21.8194,2.39207,2.97727,1.75332,1.94758,0.216398,1,1,1
6,0.0340263,0.0273829,0.0893477,inf,0.000762457,0,0.105498,0.00911784,25.8079,2.0447,2.23544,1.79552,2.02998,0.33833,1,1,1
8,0.0509651,0.0423597,0.142697,inf,0.000162537,0,0.170091,0.0101996,22.0171,2.23586,2.92139,1.81019,2.08498,0.260623,1,1,1
6,0.0336356,0.0270645,0.0893477,0.0058898,3.97384e-05,0,0.0915025,0.00754326,9.02821,2.10021,2.00319,1.55784,2.03838,0.33973,1,1,1
5,0.0305747,0.0234259,0.0748437,0.00289227,1.26065e-05,0,0.0850626,0.0101721,11.9214,1.62602,2.39557,2.18859,2.11,0.422,1,1,1
7,0.0409824,0.0333374,0.110201,0.00776512,0.000412852,0,0.139753,0.00953692,30.1578,2.17815,2.6275,1.81664,2.05813,0.294019,1,1,1
4,0.0271501,0.021412,0.0594861,0.00145393,1.70214e-05,0,0.0695005,0.0119574,14.4246,1.24661,2.06226,2.38564,2.12683,0.531707,1,1,1
9,0.0582519,0.0487905,0.166151,6.29194,0.000267907,0,0.196631,0.011399,22.0025,2.30804,3.01744,1.71996,2.19614,0.244015,1,1,1
7,0.0625565,0.0477866,0.15981,0.0234722,0.000284504,0,0.220371,0.0323849,8.52047,1.98335,3.26035,2.23074,2.1425,0.306072,0,1,1
